case,CaseName,ρPre,ρPost,ρDelta,DRIPre,DRIPost,DRIDelta,MeanPermutedDRIPre,MeanPermutedDRIPost,MeanPermutedDRIDelta,pValuePre,pValuePost,pValueDelta,CIPre,CIPost,CIDelta
0.1,Uppsala Speaks_Control,0.42244399882433464,0.3024315949055901,-0.12001240391874457,0.42244399882433464,0.3024315949055901,0.010961330828373916,0.0030186683088814525,0.0007400939043418359,-0.001400461281191044,0.0,0.002,0.866,"(-0.18780827767782082, 0.32847487027482414)","(-0.21620503202854424, 0.24790019380125386)","(-0.16909542447963424, 0.15231199481669455)"
1.0,Uppsala Speaks_Group Briefing,0.24035724839563324,0.46072031238648203,0.2203630639908488,0.24035724839563324,0.46072031238648203,0.16323024856087726,-0.00012391153876335434,0.004077789568988741,-0.0008622941771996579,0.018,0.0,0.002,"(-0.1799323771066511, 0.25374564743355366)","(-0.19486345849609682, 0.2507129938548787)","(-0.12737504827971377, 0.11988415803362251)"
2.0,Uppsala Speaks_Group Building Plus,0.3529028989369815,0.7516345534207645,0.39873165448378295,0.3529028989369815,0.7516345534207645,0.21355001303754428,0.00022903856586628638,0.008034452128486648,0.006678781215938749,0.022,0.0,0.008,"(-0.24506913674915504, 0.3917734858142757)","(-0.2354502102522178, 0.3828780221713247)","(-0.17673830935909426, 0.2005152339108608)"
3.0,FNQCJ,0.1415424023060164,0.6808215719527619,0.5392791696467456,0.1415424023060164,0.6808215719527619,0.16433851682496114,-0.004299650639568726,0.007497181062399684,-0.0036796864963596367,0.37,0.012,0.39,"(-0.3288029044139766, 0.4154308557321614)","(-0.3544759808778122, 0.6913655797954698)","(-0.6156510406965817, 0.41210113407253035)"
4.0,ACP,0.08584890913473953,0.06116594274795748,-0.024682966386782045,0.08584890913473953,0.06116594274795748,-0.018924350393582666,-0.0007599226826030498,-8.459956299503162e-5,0.00010883064746462683,0.034,0.162,0.6739999999999999,"(-0.09303259842536853, 0.10345483999075426)","(-0.09145282611997531, 0.11969198241637052)","(-0.11454451390449867, 0.1144131464327785)"
5.0,Sydney CC,0.11920911740155146,0.03552752010550161,-0.08368159729604985,0.11920911740155146,0.03552752010550161,-0.09624776342609889,0.0013580128558073298,0.004505249783496402,-0.002863505539691747,0.318,0.772,0.5820000000000001,"(-0.25450784883127087, 0.2699431742876051)","(-0.2807856492255046, 0.3064949773020231)","(-0.3528405833230157, 0.36748732284881647)"
6.0,Forest ERA_Citizens,0.4041273713921992,0.5084737583111412,0.10434638691894199,0.4041273713921992,0.5084737583111412,0.23694276338572023,0.0018537015333660732,0.011229272172184331,-0.004476371936307097,0.022,0.018,0.24,"(-0.37762509744364076, 0.42761811722778975)","(-0.4693242053120348, 0.5385033017909002)","(-0.47008267360904105, 0.4504766660619532)"
7.0,Forest ERA_Stakeholders,0.04628333982426866,0.3371998717564762,0.29091653193220757,0.04628333982426866,0.3371998717564762,0.3716562526077706,-0.007700271595982278,-0.0008319663279537598,-0.01042900435265383,0.748,0.14,0.008,"(-0.38367123251279667, 0.4694693416428449)","(-0.3555292594469272, 0.5006867615420331)","(-0.37237498933196583, 0.3434407692727028)"
8.0,Biobanking_UBC,0.04347027810310345,0.0053107128212996155,-0.03815956528180384,0.04347027810310345,0.0053107128212996155,0.1253155647660379,-0.0018780767306594826,0.0011129209136723137,0.002234643012008041,0.658,0.936,0.15,"(-0.25692248394819783, 0.3139595298274128)","(-0.227953573729668, 0.2551012900350749)","(-0.21793319283849866, 0.22529679545054665)"
9.0,Biobanking_Mayo,0.05162510296456461,0.2726660370093549,0.22104093404479028,0.05162510296456461,0.2726660370093549,0.2806072999724304,-0.0010224793998516674,-0.004981257755325712,0.005619760861039728,0.596,0.074,0.108,"(-0.21550908673355507, 0.2530587508983525)","(-0.35397507803386435, 0.36386521349654033)","(-0.3733328610190606, 0.3910942395660766)"
10.0,Biobanking_WA_Citizens,0.21397356453600672,0.4964256083670189,0.2824520438310122,0.21397356453600672,0.4964256083670189,0.5566490301427014,-0.0020007119032539925,-0.0012112068783035517,-0.005674523510922316,0.32,0.022,0.002,"(-0.3166549361008187, 0.462251740135344)","(-0.4914218376297451, 0.566232729453888)","(-0.5524273455324229, 0.4996618787436162)"
11.0,Biobanking_WA_Stakeholders,0.3086810343791305,0.32971031782902677,0.02102928344989624,0.3086810343791305,0.32971031782902677,-0.2196628730236831,-0.0028157057373442884,-0.00701433000012668,-0.0009700379983037992,0.038,0.044,0.08400000000000007,"(-0.28288209668324293, 0.3694453879979761)","(-0.3125268809988128, 0.38498430316392046)","(-0.32207258044640985, 0.3087952776380998)"
12.0,Fremantle Bridge,0.3377308004602853,0.6898130435535201,0.3520822430932348,0.3377308004602853,0.6898130435535201,0.16744662668204557,-0.0010606345164793263,-2.3016011871606066e-6,0.0010843501259648562,0.0,0.0,0.026,"(-0.10778225286005072, 0.1749838239582207)","(-0.19648165885754015, 0.36102618946681553)","(-0.1468467394344389, 0.18826879844258315)"
13.0,CCPS,0.3975580856725785,0.23034156043514672,-0.16721652523743177,0.3975580856725785,0.23034156043514672,-0.03628936562082588,0.001011673712641364,-0.001878985003803276,5.448914281839673e-5,0.0,0.018,0.6539999999999999,"(-0.2198283561851613, 0.28449596863857296)","(-0.2228598706166605, 0.23761043744533214)","(-0.17915151104103683, 0.19483368596163395)"
14.0,Energy Futures_WA,0.18244446416712837,0.46090596278863644,0.27846149862150804,0.18244446416712837,0.46090596278863644,0.018345528185547633,-0.006708626042000822,0.0012333647396913653,0.009391248595518807,0.166,0.0,0.972,"(-0.27397727602378447, 0.41115733472584476)","(-0.20936022019662606, 0.25480920084222664)","(-0.3461180598974564, 0.2791487940767037)"
15.0,Energy Futures_NSW,-0.0778333562979915,0.31777622279952655,0.39560957909751804,-0.0778333562979915,0.31777622279952655,0.027952566568566595,0.0022938466321548645,-0.0030849411101070636,-0.007466722066311018,0.71,0.002,0.81,"(-0.2885014776071466, 0.5119360844414549)","(-0.25804024879524, 0.247359627293288)","(-0.3476656151302811, 0.322856983408325)"
16.0,Energy Futures_Vic,0.31961444429351676,0.5414126232688722,0.22179817897535542,0.31961444429351676,0.5414126232688722,0.1715523844744537,-0.0027744969575286336,-0.004124691483899006,-0.005044514704018991,0.122,0.0,0.208,"(-0.31322544565758637, 0.5058221475424651)","(-0.3487885923803352, 0.46518267564298)","(-0.32168804816881374, 0.31256532201058845)"
17.0,Valsamoggia,0.8158376011272916,0.6611798677611801,-0.15465773336611155,0.8158376011272916,0.6611798677611801,0.08620438058269686,0.005770458551724964,-0.0014833096127954044,0.0008780922141406441,0.0,0.0,0.218,"(-0.21249824422300576, 0.6552856943459476)","(-0.2509106852232753, 0.569332141026639)","(-0.2271057868189902, 0.17907714276912964)"
18.0,GBR Futures,0.21371960024171371,-0.11957328546002241,-0.3332928857017361,0.21371960024171371,-0.11957328546002241,-0.0845843096305206,0.011862681696902225,1.3629333037596142e-5,0.005183971152215895,0.324,0.6180000000000001,0.7,"(-0.47354449911588986, 0.5425047574430945)","(-0.5027896412022043, 0.4911602012516166)","(-0.5206403473399959, 0.45290948071806253)"
0.19,AusCJ_Control,0.2379767248874668,0.29063180933846017,0.05265508445099337,0.2379767248874668,0.29063180933846017,0.02818724811861406,0.0021006933913163962,-0.0007471493114224718,-0.0012386518130451014,0.034,0.0,0.712,"(-0.21672689603656, 0.2620434391675754)","(-0.18961486033200697, 0.25429911461486304)","(-0.17505915379647713, 0.17377162834438753)"
19.0,AusCJ,0.2637882651653165,0.5415709206463603,0.27778265548104375,0.2637882651653165,0.5415709206463603,0.36777482114346294,-0.004313748164844196,-0.00790532413760752,0.0013561140509780296,0.02,0.0,0.002,"(-0.19201414221179072, 0.29237931583508064)","(-0.26779764956818547, 0.3214831076697915)","(-0.3048745419503308, 0.3185626551027956)"
-1.0,Means,0.24387151885313502,0.37410221555928835,0.13023069670615328,0.24387151885313502,0.37410221555928835,0.12071456732319491,-0.0002837838409628029,0.0002425662295605847,-0.0005483568027579268,0.21523809523809523,0.13428571428571429,0.35314285714285715,"(-0.2581198412641653, 0.3666302051124357)","(-0.287171781872537, 0.37193714495605856)","(-0.3063627793522742, 0.2860701479848814)"
